";	SIMPLE;4"
";	AUTOMOBILE;4"
";	FORCIBLE ENTRY;3"
";	TO PROPERTY;2"
";	SIMPLE;2"
";	CREDIT CARD FRAUD;2"
";	AGGRAVATED;2"
";	CRIMINAL SEXUAL ABUSE;2"
";	STRONGARM - NO WEAPON;2"
";	FROM BUILDING;2"
";	HARASSMENT BY TELEPHONE;1"
";	FRAUD OR CONFIDENCE GAME;1"
";	COUNTERFEIT CHECK;1"
";	DOMESTIC BATTERY SIMPLE;1"
";	POSS: CANNABIS 30GMS OR LESS;1"
";	ILLEGAL USE CASH CARD;1"
";	ATTEMPT NON-AGGRAVATED;1"
";	ATT: AUTOMOBILE;1"
";	UNLAWFUL POSS OF HANDGUN;1"
";	TO VEHICLE;1"
";	TO CITY OF CHICAGO PROPERTY;1"
";	AGG PO HANDS NO/MIN INJURY;1"
";	AGGRAVATED: OTHER DANG WEAPON;1"
";	BOGUS CHECK;1"
";	AGGRAVATED PO: HANDGUN;1"
";	ATTEMPT FINANCIAL IDENTITY THEFT;1"
";	VIOLATE ORDER OF PROTECTION;1"
";	UNLAWFUL USE/SALE AIR RIFLE;1"
";	SOLICIT ON PUBLIC WAY;1"
";	EMBEZZLEMENT;1"
";	ARMED: OTHER DANGEROUS WEAPON;1"
";	FINANCIAL ID THEFT: OVER $300;1"
"1;	FROM BUILDING;30616"
"1;	$500 AND UNDER;30127"
"1;	OVER $500;25905"
"1;	RETAIL THEFT;24119"
"1;	SIMPLE;17724"
"1;	TO LAND;13339"
"1;	POCKET-PICKING;10786"
"1;	SIMPLE;10090"
"1;	CREDIT CARD FRAUD;8459"
"1;	TO VEHICLE;8372"
"1;	TO STATE SUP LAND;7125"
"1;	DOMESTIC BATTERY SIMPLE;6989"
"1;	TO PROPERTY;5138"
"1;	AUTOMOBILE;4863"
"1;	THEFT OF LABOR/SERVICES;4816"
"1;	TELEPHONE THREAT;3741"
"1;	POSS: CANNABIS 30GMS OR LESS;3582"
"1;	HARASSMENT BY TELEPHONE;3546"
"1;	STRONGARM - NO WEAPON;3196"
"1;	FORCIBLE ENTRY;2876"
"1;	FRAUD OR CONFIDENCE GAME;2842"
"1;	ILLEGAL USE CASH CARD;2522"
"1;	POSS: HEROIN(WHITE);2459"
"1;	POSS: CRACK;2105"
"1;	FINANCIAL IDENTITY THEFT OVER $ 300;1723"
"1;	UNLAWFUL ENTRY;1636"
"1;	FINANCIAL ID THEFT: OVER $300;1521"
"1;	ARMED: HANDGUN;1465"
"1;	FORGERY;1395"
"1;	OTHER VEHICLE OFFENSE;1338"
"1;	ATTEMPT POSSESSION NARCOTICS;1332"
"1;	AGGRAVATED: OTHER DANG WEAPON;1227"
"1;	HARASSMENT BY ELECTRONIC MEANS;1207"
"1;	BOGUS CHECK;1102"
"1;	VIOLATE ORDER OF PROTECTION;1077"
"1;	COUNTERFEITING DOCUMENT;1052"
"1;	CRIMINAL DEFACEMENT;1018"
"1;	ATTEMPT THEFT;977"
"1;	PURSE-SNATCHING;969"
"1;	BOMB THREAT;890"
"1;	COUNTERFEIT CHECK;852"
"1;	OTHER CRIME AGAINST PERSON;766"
"1;	AGGRAVATED;756"
